image_name,Type_1,Type_2,Type_3
158.jpg,0.02061,0.47150,0.50789
159.jpg,0.02156,0.97583,0.00261
160.jpg,0.28119,0.71577,0.00304
161.jpg,0.18694,0.17166,0.64140
162.jpg,0.19111,0.05331,0.75558
163.jpg,0.05237,0.61884,0.32879
164.jpg,0.21154,0.75710,0.03136
165.jpg,0.99953,0.00047,0.00000
166.jpg,0.23506,0.51523,0.24971
167.jpg,0.00571,0.10189,0.89241
168.jpg,0.02364,0.97139,0.00497
169.jpg,0.00437,0.99563,0.00001
170.jpg,0.01417,0.98130,0.00453
171.jpg,0.00012,0.01906,0.98083
172.jpg,0.06152,0.45566,0.48282
173.jpg,0.17004,0.66377,0.16619
174.jpg,0.00004,0.99692,0.00305
175.jpg,0.03698,0.71496,0.24806
176.jpg,0.02556,0.93473,0.03972
177.jpg,0.03404,0.96574,0.00022
178.jpg,0.00004,0.01547,0.98449
179.jpg,0.02783,0.96218,0.00999
180.jpg,0.00075,0.44973,0.54953
181.jpg,0.47237,0.26198,0.26565
182.jpg,0.00026,0.06958,0.93016
183.jpg,0.27966,0.62026,0.10008
184.jpg,0.00222,0.20403,0.79375
185.jpg,0.00004,0.02153,0.97843
186.jpg,0.00001,0.99183,0.00816
187.jpg,0.01062,0.13929,0.85009
188.jpg,0.07822,0.83303,0.08875
189.jpg,0.00002,0.09320,0.90678
190.jpg,0.00756,0.99212,0.00032
191.jpg,0.00051,0.22636,0.77312
192.jpg,0.05996,0.41670,0.52334
193.jpg,0.22078,0.51884,0.26038
194.jpg,0.01630,0.20574,0.77795
195.jpg,0.97233,0.02751,0.00016
196.jpg,0.97060,0.02832,0.00109
197.jpg,0.23289,0.62702,0.14009
198.jpg,0.09855,0.18276,0.71868
199.jpg,0.00064,0.08148,0.91788
200.jpg,0.09450,0.88300,0.02250
201.jpg,0.19217,0.72377,0.08406
202.jpg,0.44379,0.26671,0.28949
203.jpg,0.31341,0.48080,0.20579
204.jpg,0.00078,0.02086,0.97836
205.jpg,0.04344,0.17654,0.78003
206.jpg,0.15620,0.78976,0.05404
207.jpg,0.00393,0.40285,0.59323
208.jpg,0.12516,0.15767,0.71717
209.jpg,0.00395,0.01649,0.97956
210.jpg,0.10763,0.05558,0.83679
211.jpg,0.03033,0.83144,0.13823
212.jpg,0.01685,0.94004,0.04312
213.jpg,0.01928,0.30743,0.67329
214.jpg,0.66716,0.33236,0.00049
215.jpg,0.21423,0.78576,0.00002
216.jpg,0.00030,0.99557,0.00413
217.jpg,0.00018,0.99981,0.00001
218.jpg,0.00548,0.98225,0.01227
219.jpg,0.00809,0.30722,0.68469
220.jpg,0.14032,0.85269,0.00699
221.jpg,0.04241,0.76643,0.19116
222.jpg,0.00006,0.50779,0.49215
223.jpg,0.05413,0.08460,0.86127
224.jpg,0.00348,0.22786,0.76866
225.jpg,0.00326,0.94290,0.05383
226.jpg,0.04493,0.06999,0.88508
227.jpg,0.00012,0.99988,0.00000
228.jpg,0.00050,0.99900,0.00050
229.jpg,0.00001,0.99999,0.00000
230.jpg,0.02950,0.68977,0.28073
231.jpg,0.98093,0.01462,0.00445
232.jpg,0.99840,0.00066,0.00093
233.jpg,0.04840,0.95159,0.00001
234.jpg,0.00125,0.03319,0.96556
235.jpg,0.00054,0.85489,0.14457
236.jpg,0.00250,0.93418,0.06332
237.jpg,0.11770,0.28320,0.59910
238.jpg,0.00053,0.01933,0.98014
239.jpg,0.00000,0.99860,0.00140
240.jpg,0.17832,0.26149,0.56019
241.jpg,0.07135,0.90802,0.02063
242.jpg,0.00658,0.94480,0.04862
243.jpg,0.99000,0.00990,0.00010
244.jpg,0.00019,0.16899,0.83082
245.jpg,0.27069,0.72913,0.00019
246.jpg,0.00001,0.99908,0.00091
247.jpg,0.03302,0.61049,0.35649
248.jpg,0.04857,0.54160,0.40983
249.jpg,0.17508,0.82481,0.00011
250.jpg,0.01552,0.89229,0.09219
251.jpg,0.34321,0.36717,0.28962
252.jpg,0.00078,0.94855,0.05067
253.jpg,0.02368,0.35783,0.61848
254.jpg,0.00184,0.00193,0.99623
255.jpg,0.06250,0.52937,0.40813
256.jpg,0.05306,0.82306,0.12388
257.jpg,0.00916,0.99017,0.00068
258.jpg,0.18709,0.33049,0.48242
259.jpg,0.22874,0.65328,0.11798
260.jpg,0.77659,0.22341,0.00000
261.jpg,0.00102,0.02979,0.96920
262.jpg,0.20728,0.79104,0.00168
263.jpg,0.16133,0.68007,0.15861
264.jpg,0.00883,0.30216,0.68901
265.jpg,0.01636,0.02134,0.96230
266.jpg,0.00031,0.15468,0.84502
267.jpg,0.20647,0.77839,0.01514
268.jpg,0.06198,0.93795,0.00007
269.jpg,0.44881,0.55102,0.00017
270.jpg,0.00026,0.01261,0.98712
271.jpg,0.20109,0.55459,0.24432
272.jpg,0.11457,0.73630,0.14913
273.jpg,0.08467,0.47546,0.43987
274.jpg,0.01659,0.98335,0.00006
275.jpg,0.00810,0.11369,0.87821
276.jpg,0.03867,0.25215,0.70918
277.jpg,0.11859,0.56537,0.31603
278.jpg,0.12395,0.77733,0.09871
279.jpg,0.00062,0.02820,0.97119
280.jpg,0.00662,0.98215,0.01122
281.jpg,0.42764,0.08823,0.48413
282.jpg,0.37713,0.40600,0.21687
283.jpg,0.00005,0.35402,0.64593
284.jpg,0.01429,0.00144,0.98426
285.jpg,0.82851,0.12900,0.04249
286.jpg,0.00653,0.94342,0.05005
287.jpg,0.00746,0.14873,0.84381
288.jpg,0.15752,0.52315,0.31933
289.jpg,0.91109,0.06167,0.02724
290.jpg,0.07504,0.65061,0.27435
291.jpg,0.20682,0.70719,0.08599
292.jpg,0.16350,0.40755,0.42896
293.jpg,0.92565,0.07431,0.00004
294.jpg,0.09266,0.88112,0.02622
295.jpg,0.00354,0.96645,0.03001
296.jpg,0.00471,0.99528,0.00000
297.jpg,0.06580,0.93328,0.00092
298.jpg,0.58072,0.29211,0.12717
299.jpg,0.69888,0.22069,0.08043
300.jpg,0.05380,0.90970,0.03650
301.jpg,0.00645,0.32498,0.66857
302.jpg,0.00026,0.82471,0.17504
303.jpg,0.65190,0.34764,0.00046
304.jpg,0.99957,0.00008,0.00036
305.jpg,0.00014,0.96989,0.02997
306.jpg,0.00357,0.05834,0.93809
307.jpg,0.01796,0.05137,0.93067
308.jpg,0.99743,0.00207,0.00050
309.jpg,0.25915,0.35162,0.38923
310.jpg,0.00022,0.90452,0.09525
311.jpg,0.00785,0.00134,0.99082
312.jpg,0.83213,0.12771,0.04017
313.jpg,0.00191,0.92135,0.07675
314.jpg,0.01191,0.98758,0.00050
315.jpg,0.00183,0.99143,0.00674
316.jpg,0.99880,0.00118,0.00003
317.jpg,0.05671,0.73774,0.20555
318.jpg,0.04083,0.95915,0.00002
319.jpg,0.00004,0.81733,0.18263
320.jpg,0.00096,0.99784,0.00120
321.jpg,0.16947,0.28132,0.54922
322.jpg,0.01944,0.48053,0.50003
323.jpg,0.15760,0.76070,0.08171
324.jpg,0.12621,0.84277,0.03102
325.jpg,0.46927,0.08118,0.44955
326.jpg,0.00952,0.15166,0.83881
327.jpg,0.00757,0.68452,0.30791
328.jpg,0.00018,0.36827,0.63155
329.jpg,0.00000,0.24137,0.75863
330.jpg,0.28108,0.71852,0.00040
331.jpg,0.72291,0.24560,0.03149
332.jpg,0.15176,0.79543,0.05281
333.jpg,0.00002,0.00441,0.99557
334.jpg,0.00069,0.09224,0.90707
335.jpg,0.01303,0.40757,0.57940
336.jpg,0.95010,0.04990,0.00000
337.jpg,0.01959,0.93853,0.04188
338.jpg,0.23283,0.76164,0.00553
339.jpg,0.02116,0.61117,0.36766
340.jpg,0.08411,0.73980,0.17609
341.jpg,0.02022,0.93107,0.04871
342.jpg,0.35508,0.14023,0.50469
343.jpg,0.01312,0.16074,0.82614
344.jpg,0.98042,0.01911,0.00047
345.jpg,0.99992,0.00008,0.00000
346.jpg,0.00848,0.61382,0.37770
347.jpg,0.02324,0.97659,0.00018
348.jpg,0.00709,0.55049,0.44242
349.jpg,0.14555,0.63053,0.22392
350.jpg,0.05001,0.88265,0.06734
351.jpg,0.03559,0.65377,0.31064
352.jpg,0.00033,0.80794,0.19173
353.jpg,0.13337,0.09715,0.76948
354.jpg,0.08244,0.72525,0.19231
355.jpg,0.99973,0.00026,0.00001
356.jpg,0.95659,0.03110,0.01231
357.jpg,0.00859,0.94754,0.04387
358.jpg,0.00953,0.92343,0.06704
359.jpg,0.00260,0.00368,0.99373
360.jpg,0.17960,0.81780,0.00259
361.jpg,0.07402,0.80891,0.11707
362.jpg,0.00038,0.99600,0.00362
363.jpg,0.00054,0.71835,0.28110
364.jpg,0.00810,0.02055,0.97135
365.jpg,0.00574,0.97982,0.01445
366.jpg,0.00001,0.00150,0.99849
367.jpg,0.63346,0.35387,0.01268
368.jpg,0.40955,0.27095,0.31950
369.jpg,0.04669,0.95307,0.00024
370.jpg,0.27513,0.66075,0.06411
371.jpg,0.91186,0.08801,0.00013
372.jpg,0.02192,0.16935,0.80873
373.jpg,0.04499,0.93492,0.02008
374.jpg,0.03638,0.42845,0.53517
375.jpg,0.00263,0.99736,0.00001
376.jpg,0.03970,0.71954,0.24077
377.jpg,0.29080,0.69158,0.01763
378.jpg,0.00000,0.99952,0.00048
379.jpg,0.00619,0.47080,0.52301
380.jpg,0.01828,0.11809,0.86363
381.jpg,0.20800,0.53741,0.25459
382.jpg,0.99777,0.00207,0.00016
383.jpg,0.00095,0.99901,0.00004
384.jpg,0.80432,0.13504,0.06064
385.jpg,0.01035,0.39606,0.59359
386.jpg,0.02888,0.04174,0.92938
387.jpg,0.01446,0.62696,0.35858
388.jpg,0.08374,0.57372,0.34254
389.jpg,0.00163,0.65771,0.34066
390.jpg,0.36384,0.52034,0.11582
391.jpg,0.00011,0.51515,0.48473
392.jpg,0.00067,0.96951,0.02982
393.jpg,0.10025,0.00568,0.89407
394.jpg,0.07523,0.78644,0.13832
395.jpg,0.35165,0.64339,0.00496
396.jpg,0.08925,0.89778,0.01296
397.jpg,0.60504,0.27419,0.12077
398.jpg,0.00012,0.89988,0.10001
399.jpg,0.23750,0.73935,0.02315
400.jpg,0.03017,0.75480,0.21503
401.jpg,0.00037,0.99345,0.00618
402.jpg,0.96455,0.03248,0.00297
403.jpg,0.00224,0.98408,0.01368
404.jpg,0.05528,0.81143,0.13329
405.jpg,0.01195,0.98781,0.00024
406.jpg,0.99979,0.00020,0.00001
407.jpg,0.12583,0.87389,0.00028
408.jpg,0.06424,0.91413,0.02163
409.jpg,0.05465,0.25344,0.69192
410.jpg,0.30295,0.05894,0.63812
411.jpg,0.00620,0.99307,0.00074
412.jpg,0.00433,0.70287,0.29280
413.jpg,0.00016,0.85828,0.14156
414.jpg,0.01289,0.16042,0.82670
415.jpg,0.99081,0.00919,0.00000
416.jpg,0.94487,0.05508,0.00004
417.jpg,0.07749,0.87745,0.04505
418.jpg,0.16608,0.17465,0.65927
419.jpg,0.58675,0.23072,0.18253
420.jpg,0.16810,0.42924,0.40266
421.jpg,0.72175,0.27684,0.00142
422.jpg,0.28278,0.53387,0.18335
423.jpg,0.20100,0.17836,0.62064
424.jpg,0.00340,0.88737,0.10924
425.jpg,0.00058,0.02764,0.97178
426.jpg,0.02021,0.86605,0.11374
427.jpg,0.00386,0.58483,0.41130
428.jpg,0.03046,0.14667,0.82288
429.jpg,0.00132,0.00690,0.99178
430.jpg,0.04923,0.72176,0.22901
431.jpg,0.99876,0.00124,0.00000
432.jpg,0.00040,0.42132,0.57828
433.jpg,0.00174,0.87351,0.12475
434.jpg,0.01611,0.92408,0.05981
435.jpg,0.04538,0.40021,0.55442
436.jpg,0.52433,0.46387,0.01180
437.jpg,0.52757,0.41916,0.05327
438.jpg,0.00013,0.96660,0.03327
439.jpg,0.00000,0.85684,0.14316
440.jpg,0.31500,0.33031,0.35469
441.jpg,0.01232,0.98759,0.00009
442.jpg,0.00212,0.99787,0.00001
443.jpg,0.01267,0.26608,0.72125
444.jpg,0.01570,0.93550,0.04880
445.jpg,0.57934,0.36019,0.06047
446.jpg,0.06794,0.80079,0.13127
447.jpg,0.17553,0.67507,0.14940
448.jpg,0.00903,0.23859,0.75238
449.jpg,0.62758,0.36046,0.01196
450.jpg,0.00079,0.31663,0.68258
451.jpg,0.00351,0.90942,0.08707
452.jpg,0.01069,0.61862,0.37068
453.jpg,0.78487,0.21469,0.00045
454.jpg,0.29327,0.30725,0.39948
455.jpg,0.09644,0.31765,0.58591
456.jpg,0.31743,0.68240,0.00017
457.jpg,0.99988,0.00012,0.00000
458.jpg,0.16935,0.64548,0.18517
459.jpg,0.30102,0.69568,0.00330
460.jpg,0.15132,0.78604,0.06264
461.jpg,0.00257,0.50416,0.49327
462.jpg,0.13571,0.71175,0.15254
463.jpg,0.08447,0.40308,0.51245
464.jpg,0.00028,0.99970,0.00002
465.jpg,0.00009,0.99889,0.00102
466.jpg,0.00686,0.99313,0.00001
467.jpg,0.96122,0.01007,0.02871
468.jpg,0.28565,0.17219,0.54216
469.jpg,0.02364,0.87325,0.10311
470.jpg,0.01997,0.97996,0.00007
471.jpg,0.47723,0.48906,0.03370
472.jpg,0.66910,0.07551,0.25540
473.jpg,0.01494,0.72129,0.26378
474.jpg,0.03091,0.82676,0.14233
475.jpg,0.00956,0.86312,0.12732
476.jpg,0.19925,0.76006,0.04069
477.jpg,0.82368,0.17629,0.00003
478.jpg,0.22976,0.63426,0.13598
479.jpg,0.00219,0.98248,0.01533
480.jpg,0.16125,0.75873,0.08002
481.jpg,0.00000,0.00466,0.99534
482.jpg,0.99605,0.00302,0.00093
483.jpg,0.36092,0.63900,0.00007
484.jpg,0.15664,0.34330,0.50006
485.jpg,0.00157,0.09173,0.90670
486.jpg,0.00273,0.39531,0.60196
487.jpg,0.35436,0.63966,0.00599
488.jpg,0.02476,0.32423,0.65100
489.jpg,0.94484,0.01128,0.04388
490.jpg,0.01086,0.91411,0.07503
491.jpg,0.11592,0.87487,0.00921
492.jpg,0.11171,0.88562,0.00267
493.jpg,0.17949,0.73670,0.08381
494.jpg,0.01548,0.09997,0.88456
495.jpg,0.24673,0.75322,0.00005
496.jpg,0.01145,0.62023,0.36833
497.jpg,0.07791,0.87793,0.04416
498.jpg,0.00590,0.77443,0.21967
499.jpg,0.00020,0.00200,0.99779
500.jpg,0.04683,0.92805,0.02512
501.jpg,0.00003,0.99997,0.00000
502.jpg,0.01106,0.18883,0.80011
503.jpg,0.01822,0.74484,0.23694
504.jpg,0.00172,0.52950,0.46877
505.jpg,0.13155,0.77459,0.09386
506.jpg,0.34059,0.63104,0.02837
507.jpg,0.39734,0.43598,0.16667
508.jpg,0.01884,0.84176,0.13941
509.jpg,0.16942,0.78488,0.04571
510.jpg,0.00355,0.26065,0.73580
511.jpg,0.20648,0.14494,0.64858
10000.jpg,0.06257,0.68107,0.25636
10001.jpg,0.08673,0.49634,0.41694
10002.jpg,0.05723,0.33775,0.60501
10003.jpg,0.62774,0.35873,0.01353
10004.jpg,0.20028,0.77432,0.02540
10005.jpg,0.18310,0.65363,0.16327
10006.jpg,0.16327,0.63827,0.19846
10007.jpg,0.23097,0.74982,0.01921
10008.jpg,0.10075,0.84936,0.04989
10009.jpg,0.17359,0.73308,0.09333
10010.jpg,0.10983,0.34399,0.54618
10011.jpg,0.03237,0.39238,0.57525
10012.jpg,0.06452,0.59254,0.34294
10013.jpg,0.16767,0.26832,0.56401
10014.jpg,0.11088,0.81870,0.07042
10015.jpg,0.12411,0.52091,0.35498
10016.jpg,0.01407,0.94121,0.04472
10017.jpg,0.08082,0.63601,0.28317
10018.jpg,0.18966,0.53595,0.27439
10019.jpg,0.16777,0.71665,0.11558
10020.jpg,0.01756,0.72791,0.25453
10021.jpg,0.03884,0.69971,0.26145
10022.jpg,0.07067,0.59875,0.33058
10023.jpg,0.19776,0.64085,0.16139
10024.jpg,0.01301,0.63154,0.35545
10025.jpg,0.08692,0.83805,0.07503
10026.jpg,0.22467,0.35604,0.41928
10027.jpg,0.04176,0.56980,0.38844
10028.jpg,0.01132,0.49930,0.48937
10029.jpg,0.22053,0.74397,0.03550
10030.jpg,0.12495,0.45125,0.42380
10031.jpg,0.05521,0.47627,0.46852
10032.jpg,0.12097,0.46406,0.41497
10033.jpg,0.27076,0.65878,0.07046
10034.jpg,0.20921,0.77978,0.01101
10035.jpg,0.08667,0.66569,0.24764
10036.jpg,0.49621,0.50001,0.00378
10037.jpg,0.12855,0.82746,0.04399
10038.jpg,0.08272,0.91244,0.00484
10039.jpg,0.60417,0.28656,0.10927
10040.jpg,0.06193,0.34931,0.58876
10041.jpg,0.16692,0.72033,0.11274
10042.jpg,0.06659,0.42913,0.50427
10043.jpg,0.07796,0.72979,0.19224
10044.jpg,0.00125,0.06718,0.93157
10045.jpg,0.21497,0.78097,0.00406
10046.jpg,0.45246,0.54149,0.00605
10047.jpg,0.30190,0.69315,0.00495
10048.jpg,0.08810,0.66331,0.24859
10049.jpg,0.14899,0.33326,0.51775
10050.jpg,0.11903,0.83410,0.04688
10051.jpg,0.03821,0.32217,0.63962
10052.jpg,0.06672,0.68201,0.25127
10053.jpg,0.08306,0.36116,0.55579
10054.jpg,0.02102,0.66936,0.30962
10055.jpg,0.07433,0.81040,0.11527
10056.jpg,0.03511,0.93746,0.02743
10057.jpg,0.02863,0.93382,0.03755
10058.jpg,0.71454,0.27889,0.00657
10059.jpg,0.10503,0.44995,0.44502
10060.jpg,0.26675,0.68497,0.04827
10061.jpg,0.15248,0.70396,0.14356
10062.jpg,0.10994,0.58409,0.30597
10063.jpg,0.07661,0.87729,0.04610
10064.jpg,0.12243,0.86470,0.01288
10065.jpg,0.27580,0.61154,0.11266
10066.jpg,0.05323,0.38750,0.55927
10067.jpg,0.23487,0.55945,0.20567
10068.jpg,0.02476,0.74805,0.22719
10069.jpg,0.15233,0.62154,0.22613
10070.jpg,0.14589,0.83708,0.01702
10071.jpg,0.08192,0.79577,0.12231
10072.jpg,0.28188,0.29483,0.42328
10073.jpg,0.13174,0.77712,0.09114
10074.jpg,0.18449,0.69874,0.11677
10075.jpg,0.72574,0.25347,0.02079
10076.jpg,0.00442,0.26288,0.73270
10077.jpg,0.03064,0.69008,0.27928
10078.jpg,0.34700,0.61412,0.03888
10079.jpg,0.01268,0.29448,0.69284
10080.jpg,0.23326,0.50605,0.26069
10081.jpg,0.08469,0.64573,0.26957
10082.jpg,0.05738,0.71750,0.22512
10083.jpg,0.12013,0.28595,0.59392
10084.jpg,0.08376,0.69059,0.22566
10085.jpg,0.17737,0.79594,0.02668
10086.jpg,0.09452,0.45576,0.44972
10087.jpg,0.18024,0.73775,0.08201
10088.jpg,0.03660,0.45757,0.50583
10089.jpg,0.10614,0.62599,0.26787
10090.jpg,0.06513,0.85760,0.07727
10091.jpg,0.08025,0.86641,0.05334
10092.jpg,0.02398,0.49254,0.48348
10093.jpg,0.08711,0.83836,0.07453
10094.jpg,0.10164,0.75110,0.14726
10095.jpg,0.44831,0.30553,0.24616
10096.jpg,0.74829,0.24620,0.00551
10097.jpg,0.04944,0.69162,0.25894
10098.jpg,0.10614,0.74544,0.14842
10099.jpg,0.23240,0.56148,0.20612
10100.jpg,0.20385,0.52806,0.26809
10101.jpg,0.06255,0.89793,0.03952
10102.jpg,0.06800,0.84976,0.08224
10103.jpg,0.13181,0.38209,0.48610
10104.jpg,0.08080,0.43527,0.48393
10105.jpg,0.07625,0.24410,0.67965
10106.jpg,0.03597,0.26788,0.69616
10107.jpg,0.13840,0.33074,0.53087
10108.jpg,0.01146,0.97145,0.01709
10109.jpg,0.07496,0.50561,0.41944
10110.jpg,0.13143,0.65084,0.21772
10111.jpg,0.07065,0.68401,0.24535
10112.jpg,0.15161,0.37594,0.47246
10113.jpg,0.05538,0.57548,0.36914
10114.jpg,0.40119,0.53680,0.06201
10115.jpg,0.23141,0.40502,0.36356
10116.jpg,0.41135,0.57233,0.01633
10117.jpg,0.57810,0.38310,0.03879
10118.jpg,0.09980,0.87109,0.02911
10119.jpg,0.41158,0.46885,0.11958
10120.jpg,0.24047,0.69693,0.06260
10121.jpg,0.07519,0.57398,0.35083
10122.jpg,0.04861,0.88085,0.07054
10123.jpg,0.29353,0.64280,0.06368
10124.jpg,0.13367,0.85530,0.01103
10125.jpg,0.02371,0.54981,0.42648
10126.jpg,0.07723,0.80280,0.11996
10127.jpg,0.24774,0.42591,0.32635
10128.jpg,0.04418,0.88250,0.07332
10129.jpg,0.06073,0.65756,0.28171
10130.jpg,0.13906,0.77548,0.08546
10131.jpg,0.21411,0.73165,0.05424
10132.jpg,0.57752,0.41247,0.01001
10133.jpg,0.31125,0.66740,0.02135
10134.jpg,0.01513,0.29931,0.68556
10135.jpg,0.02886,0.42483,0.54631
10136.jpg,0.74070,0.21061,0.04868
10137.jpg,0.10908,0.70307,0.18785
10138.jpg,0.14575,0.83586,0.01839
10139.jpg,0.05123,0.51359,0.43518
10140.jpg,0.05999,0.88390,0.05610
10141.jpg,0.19145,0.80229,0.00627
10142.jpg,0.02873,0.82247,0.14880
10143.jpg,0.10805,0.61590,0.27605
10144.jpg,0.07800,0.89530,0.02670
